Sl. No.,Metric Name,Definition,Preferred Direction
770,DSC (V),A metric used to evaluate the performance of object detection models,Higher
771,DSSIM,DSSIM,Lower 
772,Duration,Duration,N/A
773,DVD,Top-1 accuracy for DVD cover classification,Higher 
774,DVPQ,Delta value per query for product quantization-based nearest neighbor search.,Lower
775,E-Measure,The harmonic mean of precision and recall for edge detection,Higher
776,E-measure,E-measure,Higher 
777,EaH@95,Energy at Hardness 95,Higher
778,EaH@99,Energy at 99% Hit Rate,Lower
779,EAO,Expected Average Overlap for tracking task,Higher 
780,EAO (real-time),Expected Average Overlap for real-time,Higher
781,Earth Mover's Distance,Minimum cost of turning one probability distribution into another,Lower
782,EarthNetScore,The EarthNetScore of a model,Higher
783,East Asian,A term used to describe people of East Asian descent,N/A
784,ECtHR Task A,A metric used to evaluate the performance of natural language processing models,Higher
785,ECtHR Task B,A metric used to evaluate the performance of natural language processing models,Higher
786,ED@20 Action,ED@20 Action is a metric used to evaluate recommendation systems in e-commerce scenarios. It measures the expected revenue per user from recommending items among the top 20 recommendations.,Higher
787,ED@20 Noun,The percentage of nouns in a sentence that are correctly identified by a model.,Higher
788,ED@20 Verb,Percentage of correct verb predictions within 20 words of the target verb in a semantic role labeling task.,Higher
789,Edit,"Measures the minimum number of insertions, deletions, and substitutions needed to transform one sequence into another",Lower 
790,Edit Distance,The minimum number of operations required to transform one string into another,Lower
791,Edit Sim (line-level),Edit Similarity for line-level,Higher
792,EER,Equal Error Rate,Lower
793,Electronics,Top-1 accuracy for electronics image classification,Higher 
794,EM,A metric used to measure the performance of a natural language processing system .,Higher
795,EM,Exact match score,Higher
796,EM (line-level),Exact Match (EM) at line-level is a metric used to evaluate natural language processing models in question answering tasks. It measures the percentage of questions answered exactly correctly at line-level.,Higher
797,EM (Quasar-T),Exact Match score for Quasar-T question answering,Higher 
798,EMD,Earth Mover’s Distance,Lower
799,EmoA,Emotion analysis accuracy.,Higher
800,Emoji,A metric used to evaluate the performance of text classification models,Higher
801,Emotion,Accuracy for emotion recognition task,Higher 
802,EmoV,A metric used to evaluate the performance of emotion recognition models,Higher
803,EN → DA,Accuracy of English to Danish translation on the WMT16 dataset.,Higher
804,EN → LA,A metric used to evaluate the performance of machine translation models,Higher
805,EN → NO,The accuracy of machine translation from English to Norwegian.,Higher
806,EN → ZH,The accuracy of machine translation from English to Chinese.,Higher
807,EN-Recall@10,English Recall at 10,Higher
808,Endocardium Dice,Dice coefficient for endocardium segmentation in medical imaging.,Higher
809,Energy MAE,A metric used to evaluate the performance of energy forecasting models,Lower
810,ENG,Energy,Higher
811,Entity Alignment (Consolidated) F1,Entity Alignment (Consolidated) F1,Higher
812,Entity F1,Entity F1 score,Higher
813,Entity F1 (partial),Entity F1 score (partial),Higher 
814,Epicardium Dice,Measures the similarity between two sets of points,Higher 
815,Epochs,The number of times the entire dataset is passed through the model,Higher
816,EQ-R,EQ-R,N/A
817,EQ-T,A metric used to measure the performance of a speaker diarization system .,Higher
818,Equal Error Rate,Equal Error Rate,Lower
819,ER≤20°,Error Rate for Error Rate Less Than or Equal to 20 Degrees,Lower
820,eRE,A metric used to evaluate the performance of recommendation models,Lower
821,ERQAv1.0,The ERQAv1.0 score of a model,Higher
822,ERQAv2.0,The ERQAv2.0 score of a model,Higher
823,ERR@20,A metric used to evaluate the performance of recommendation models,Higher
824,Error,Error,Lower 
825,Error (mm),A metric used to evaluate the performance of 3D human pose estimation models,Lower
826,Error Rate,A metric used to evaluate the performance of speech recognition models,Lower
827,Error rate,A metric used to evaluate the performance of speech recognition models,Lower
828,Error rate - SNR 0dB,Error rate for a given signal-to-noise ratio (SNR) of 0 dB,Lower
829,Error ratio,Error ratio,Lower
830,Error Removal,Error Removal,N/A
831,ES-Recall@10,Early Stopping Recall at 10 detections,Higher
832,ESTOI,Extended Short-Time Objective Intelligibility,Higher
833,eTE,Expected test error for a machine learning model.,Lower
834,Euclidean Distance (ED),Euclidean distance (ED),Lower 
835,Euclidean Mean Error (EME),Measures the error between two sets of points,Lower 
836,EUR-LEX,EUR-LEX,N/A
837,Eval F1,Evaluation F1 score,Higher
838,Eval2000,Eval2000,-
839,event-based F1 score,F1 score for event detection in video data.,Higher
840,Evidence F1,Evidence F1 score,Higher 
841,Ewarp,Ewarp,Lower 
842,Exact,Percentage of exact matches in a text generation task.,Higher
843,Exact Match,A metric used to evaluate the performance of question answering models,Higher
844,exact match,Percentage of exact matches in a text generation task.,Higher
845,Exact Match (EM),A metric used to evaluate the performance of question answering models,Higher
846,Exact Match Accuracy,Exact Match Accuracy,Higher
847,Exact Match Accuracy (in Dev),The exact match accuracy of a model in the development set,Higher
848,Exact Span F1,Exact Span F1,Higher
849,Exact string match,The exact string match accuracy of a model,Higher
850,Execution Accuracy,Execution accuracy,Higher 
851,Execution Accuracy (in Dev),Execution Accuracy in Development,Higher
852,exp embedding L2,The exp embedding L2 score of a model,Higher
853,Expected Average Overlap (EAO),Expected average overlap (EAO),Higher 
854,Expected Calibration Error,Expected Calibration Error,Lower
855,Explanation Accuracy,Accuracy of explanations generated by a machine learning model.,Higher
856,Explanation complexity,Explanation complexity,N/A
857,Explanation extraction time,Time taken to extract an explanation,Lower
858,expression,"Expression is a metric used to evaluate facial expression recognition models. It measures how well a model can recognize different facial expressions such as happiness, sadness, anger, etc.",Higher
859,Ext. data,A metric used to measure the performance of a machine learning model .,Higher
860,Extreme Weather,A dataset of extreme weather events,N/A
861,Eyeglasses,A metric used to evaluate the performance of face recognition models,Lower
862,F,F1 score for a binary classification task.,Higher
863,F score,F score,Higher 
864,F_latency,A metric used to evaluate the performance of machine learning models in real-time applications. It measures the latency or delay between input and output for a given model. Lower values indicate better performance.,Lower
865,F_measure (EA),F-measure (EA),Higher 
866,F_NMI,A metric used to measure the performance of a clustering system .,Higher
867,F-BC,F-BC,Higher 
868,F-F1 score (Comb.),A metric used to measure the performance of a natural language processing system .,Higher
869,F-F1 score (NA),F1 score for named entity recognition,Higher
870,F-F1 score (Persian),F1 score for Persian language text classification,Higher
871,F-Measure,A metric used to evaluate the performance of text classification models,Higher
872,F-measure,F-measure,Higher
873,F-measure (%),A metric used to evaluate the performance of multi-class classification models,Higher
874,F-measure (Decay),F-measure with Decay,Higher
875,F-measure (Mean),F-measure (Mean) is a metric used to evaluate classification models on imbalanced datasets with many negative samples relative to positive samples. It measures the mean F1 score across all classes in a dataset.,Higher
876,F-measure (Recall),F-measure at Recall,Higher
877,F-Measure (Seen),F-measure (Seen),Higher 
878,F-Measure (Unseen),A metric used to evaluate the performance of text classification models,Higher
879,F-MPJPE,Frame-wise Mean Per Joint Position Error,Lower
880,F-MVE,F-measure (mean voxel error),Higher 
881,F-score,Harmonic mean of precision and recall,Higher 
882,F-Score,F-Score is a metric used to evaluate classification models. It measures the harmonic mean of precision and recall across all classes in a dataset.,Higher
883,F-Score@1%,F-Score at 1 percent,Higher
884,F.W. IU,A metric used to evaluate the performance of image segmentation models,Higher
885,F0.5,The F0.5 score of a model,Higher
886,F1 - macro,A metric used to evaluate the performance of multi-class classification models,Higher
887,F1 (%),The F1 score of a model as a percentage,Higher
888,F1 (1-Doc),F1 score for document-level sentiment analysis when only one document is allowed as input.,Higher
889,F1 (1% Few-Shot),F1 score on 1% Few-Shot dataset,Higher
890,F1 (10-way 1-shot),F1 score for 10-way 1-shot classification.,Higher
891,F1 (10-way 5-shot),Measures the performance of few-shot image classification models,Higher 
892,F1 (10% Few-Shot),F1 score for 10% Few-Shot,Higher
893,F1 (3-Doc),F1 score on 3-Doc dataset,Higher
894,F1 (5-way 1-shot),F1 score in a few-shot classification task with five classes and one shot per class.,Higher
895,F1 (5-way 5-shot,F1 score for 5-way 5-shot classification,Higher
896,F1 (5% Few-Shot),F1 score at 5% few-shot,Higher 
897,F1 (Arg.),The F1 score of a model on the argumentation mining task,Higher
898,F1 (Chinese),F1 score for Chinese,Higher
899,F1 (Hidden Test Set),F1 score on Hidden Test Set,Higher
900,F1 (macro),Macro-F1 score for a classification or prediction task.,Higher 
901,F1 (micro),The micro F1 score of a model,Higher
902,F1 (Prd.),F1 score (product),Higher 
903,F1 (Quasar-T),F1 (Quasar-T),Higher 
904,F1 (Seqeval),F1 (Seqeval),Higher 
905,F1 (surface form),F1 (surface form),Higher 
906,F1 (v1),F1 score for a binary classification task with a threshold of 0.5.,Higher
907,F1 (v2),The F1 score of a model,Higher
908,F1 (Zero-Shot),A metric used to evaluate the performance of zero-shot learning models,Higher
909,F1 Micro,F1 score for Micro,Higher
910,F1 Per-patient,F1 score per patient is a metric used to evaluate medical diagnosis models that predict multiple diseases or conditions for each patient.,Higher
911,F1 Per-segment,A metric used to evaluate the performance of image segmentation models,Higher
912,F1 score,A metric used to evaluate the performance of multi-class classification models,Higher
913,F1 Score,A metric used to evaluate the performance of multi-class classification models,Higher
914,F1 score (5-fold),F1 score for 5-fold,Higher
915,F1 Score (Avg. over Cities),The F1 score of a model averaged over cities,Higher
916,f1_score,F1 score,Higher 
917,F1-Hard,F1 score for hard negatives in face detection task,Higher 
918,F1-Measure,F1-Measure,Higher
919,F1-score,A metric used to measure the performance of a binary classification system .,Higher
920,F1-Score,The F1 score of a model,Higher
921,"F1-score (@IoU = 0.2, all age groups)",F1-score at an IoU of 0.2 for all age groups,Higher
922,"F1-score (@IoU = 0.2, older individuals)",F1-score at Intersection over Union of 0.2 for older individuals,Higher
923,"F1-score (@IoU = 0.2, young individuals)","F1-score (@IoU = 0.2, young individuals) is a metric used to evaluate object detection models in medical image analysis tasks. It measures how well predicted object detections match ground truth object detections using overlap ratios.",Higher
924,F1-score (@IoU = 0.2),F1-score at Intersection over Union of 0.2,Higher
925,F1-score (@IoU = 0.3),F1-score at Intersection over Union of 0.3,Higher
926,F1-Score (AC),F1-Score for an anomaly detection task.,Higher 
927,F1-score (Augmented),A metric used to measure the performance of a natural language processing system .,Higher
928,F1-score (Canonical),F1 score for canonical correlation analysis,Higher
929,F1-Score (Cross-Session),A metric used to evaluate the performance of speaker recognition models,Higher
930,F1-Score (Cross-Subject),A metric used to evaluate the performance of speaker recognition models,Higher
931,F1-Score (LF),F1-score for low-frequency words,Higher
932,F1-score (strict),F1 score for binary classification with strict threshold,Higher
933,F1-score (Weighted),A metric used to evaluate the performance of multi-class classification models,Higher
934,F1(10-fold),F1 score on 10-fold dataset,Higher
935,F1(Neg),A metric used to evaluate the performance of multi-class classification models,Higher
936,F1(Pos),F1 score for positive examples,Higher
937,F1(stratified10-fold),A metric used to evaluate the performance of text classification models,Higher
938,F1(t=0.8m),F1 score at 0.8 meters,Higher
939,F1(t=1.2m),F1 score for t=1.2m,Higher
940,F1@0.1s,A metric used to evaluate the performance of multi-class classification models,Higher
941,F1@0.2s,F1 score at 0.2 seconds,Higher 
942,F1@0.5s,A metric used to evaluate the performance of object detection models,Higher
943,F1@1.0s,F1 score for temporal action segmentation at 1.0 seconds,Higher
944,F1@1.5s,F1@1.5s is a metric used to evaluate action recognition models in video analysis tasks. It measures how well predicted actions match ground truth actions within a time window of 1.5 seconds.,Higher
945,F1@10,F1 at 10,Higher 
946,F1@10%,F1 score at 10% recall is a metric used to evaluate information retrieval models. It measures the harmonic mean of precision and recall at 10% recall level.,Higher
947,F1@2.0s,F1 score at 2.0 seconds,Higher 
948,F1@2.5s,F1 score at 2.5 seconds,Higher
949,F1@25%,A metric used to evaluate the performance of question answering models,Higher
950,F1@3.0s,F1 score at 3.0 seconds,Higher
951,F1@50%,F1@50% is a metric used to evaluate recommendation systems. It measures the F1 score of relevant items among the top 50% recommendations.,Higher
952,F1@Avg,Average F1 score,Higher
953,F1@M,The F1 score of a model at a certain threshold,Higher
954,F1≤20°,F1 score calculated for angles less than or equal to 20 degrees,Higher
955,F1c (v1),The F1 score of a model on the COCO dataset,Higher
956,F1c (v2),F1c (v2),Higher 
957,F2(stratified10-fold),F2 score for stratified 10-fold cross-validation,Higher
958,face,The accuracy of a model on the face detection task,Higher
959,Fact-F1,Fact F1 score,Higher
960,FAD,False Acceptance Detection,Higher
961,FAR,A metric used to evaluate the performance of biometric authentication models,Lower
962,FB-MPJPE,Forward-backward mean per joint position error,Lower 
963,FB-MVE,FB-MVE,-
964,FB-NMVE,FB-NMVE,-
965,FCN [mIoU],Fully Convolutional Network with mean Intersection over Union,Higher
966,FD,FD,Lower 
967,FDE (in world coordinates),Final Distance Error in world coordinates,Lower
968,FDE-8/12,A metric used to evaluate the performance of object tracking models,Lower
969,FDE(1.5),A metric used to evaluate the performance of object tracking models,Lower
970,FDE@1000ms (mm),A metric used to measure the performance of a tracking system .,Lower
971,FDE@2000ms,A metric used to evaluate the performance of object tracking models,Lower
972,FDE@320ms (mm),A metric used to measure the performance of a visual tracking system .,Lower
973,FDE@4s (K=20),Final Displacement Error at 4 seconds with K=20,Lower
974,FDE@4s (K=5),Final Displacement Error at 4 seconds into the future with K=5 samples per prediction in trajectory prediction tasks. It measures the average distance between predicted and ground truth trajectories at 4 seconds into the future using K samples per prediction. Lower values indicate better performance.,Lower
975,FDE@560ms (mm),"Final Displacement Error at 560ms into the future in trajectory prediction tasks, measured in millimeters (mm). It measures the average distance between predicted and ground truth trajectories at 560ms into the future using one sample per prediction. Lower values indicate better performance.",Lower
976,FDE@720ms (mm),Final displacement error of predicted hand position after 720ms,Lower
977,FDE@80ms (mm),The final displacement error of a model at 80ms,Lower
978,FDE@880ms (mm),"Final displacement error at time step 880ms for pedestrian tracking in autonomous driving scenarios, measured in millimeters.",Lower
979,Feature Matching Recall,A metric used to evaluate the performance of image retrieval models,Higher
980,FED,FED,Lower 
981,Feminine F1 (F),F1 score for the feminine gender in a gender classification task.,Higher
982,FEVER,A metric used to measure the performance of a natural language processing system .,Higher
983,FGD,False positive rate for a face detection task.,Lower
984,FH,FH,N/A
985,FID,Fréchet Inception Distance,Lower
986,FID (All Surfaces),Frechet Inception Distance on All Surfaces dataset,Lower
987,FID (BF),The Fréchet Inception Distance of a model on the BigGAN-deep dataset,Lower
988,FID (CS),Fréchet Inception Distance for Conditional Sampling,Lower
989,FID (CV),A metric used to measure the performance of a generative model .,Lower
990,FID (first 20 steps),Frechet inception distance at first 20 steps,Lower 
991,FID (full 100 steps),A metric used to evaluate the quality of generated images,Lower
992,FID (GFP),Fréchet Inception Distance - GFP,Lower
993,FID (SwAV),A metric used to measure the performance of a generative model .,Lower
994,FID-1,A metric used to measure the performance of a generative model .,Lower
995,FID-10k-test,Fréchet inception distance 10k test,Lower 
996,FID-10k-training-steps,Frechet inception distance at 10k training steps,Lower 
997,FID-2,The FID-2 score of a model,Lower
998,FID-4,Frechet inception distance at 4,Lower 
999,FID-50k,Frechet inception distance at 50k,Lower 
1000,FID-5K,Frechet Inception Distance on 5K dataset,Lower
1001,FID-5k-training-steps,Frechet Inception Distance between generated and real images at a particular step during training.,Lower 
1002,FID-8,A metric used to measure the performance of a generative model .,Lower
1003,FID-C,Fréchet Inception Distance - Classifier,Lower
1004,Figure,A metric used to evaluate the performance of image generation models,Lower
1005,FIOU(1.5),FIOU(1.5),Higher
1006,FITB,A metric used to evaluate the performance of fill-in-the-blank question answering models,Higher
1007,FKGL,Flesch-Kincaid grade level for a text classification task.,Lower
1008,Fl-all,A metric used to evaluate the performance of text classification models,Higher
1009,FLOPs,The number of floating point operations required to run a model,Lower
1010,FLOPS,The FLOPS of a model,Lower
1011,FLOPs (G),The number of giga floating point operations required to run a model,Lower
1012,FLOPs (G) x views,Floating point operations per second multiplied by views.,Higher
1013,fMSE,Focal Mean Squared Error for imbalanced datasets,Lower
1014,FNMR [%] @ 10-3 FMR,False Non-Match Rate at 10-3 False Match Rate,Lower
1015,Font MSE,Mean Squared Error of font,Lower
1016,Food,Top-1 accuracy for food image classification,Higher 
1017,Fool rate,Fool rate,Lower
1018,foot,The percentage of correctly classified foot images,Higher
1019,Footwork average,Footwork average,N/A
1020,FPR,A metric used to evaluate the performance of anomaly detection models,Lower
1021,FPR95,False positive rate at 95% true positive rate for a speaker verification task.,Lower
1022,FPS,Frames per second for a video processing task.,Higher
1023,"FPS (V100, b=1)",Frames Per Second using V100 GPU with batch size 1,Higher 
1024,FPS on CPU,Frames per second on CPU,Higher
1025,"FR_inter-ocular@0.1(%, all)",The FR inter-ocular score of a model with a threshold of 0.1 and all,Higher
1026,FR-Recall@10,False Rejection Recall at 10 False Accepts (FR-Recall@10) is a metric used to evaluate biometric authentication systems. It measures the percentage of times that an authorized user is rejected by the system due to false positives or other errors. Lower values indicate better performance.,Lower
1027,FR@8 (inter-ocular),A metric used to evaluate the performance of face recognition models,Higher
1028,Frame (fps),Frame (fps),Higher 
1029,Frame accuracy,Percentage of correctly classified frames in a video classification task.,Higher
1030,Frame-mAP,Frame Mean Average Precision,Higher
1031,Frames Needed,Frames needed,Lower 
1032,Frechet ChemNet Distance (FCD),A metric used to evaluate the performance of image generation models,Lower
1033,Frechet Point cloud Distance,Frechet Point Cloud Distance (FPD) is a metric used to evaluate generative models in 3D object synthesis tasks. It measures the distance between real and generated point clouds in feature space using the Frechet distance. Lower values indicate better performance.,Lower
1034,FREQ (All Surfaces),Frequency of All Surfaces,N/A
1035,Frozen,A metric used to evaluate the performance of natural language processing models,Higher
1036,FruitFlies,The number of fruit flies caught in a trap over a certain period of time.,Lower
1037,FS,Measures the fluency and coherence of a text generation model,Higher 
1038,FScore,A metric used to evaluate the performance of text classification models,Higher
1039,FSF,Frequency Selectivity Index in a hearing test,Higher
1040,FSIM,A metric used to measure the quality of a image .,Higher
1041,function evaluations,A metric used to evaluate the performance of optimization algorithms,Lower
1042,FVD,A metric used to evaluate the performance of video generation models,Lower
1043,FVD (BF),A metric used to evaluate the performance of video generation models,Lower
1044,FVD (GFP),Fréchet Video Distance with Geometric Features Pooling,Lower
1045,FVD score,A metric used to evaluate the performance of video generation models,Lower
1046,FVD16,Frechet Video Distance on 16 frames,Lower
1047,fwIOU,A metric used to measure the performance of an object detection system .,Higher
1048,Fwβ,Fwβ,N/A
1049,G,A metric used to evaluate the performance of natural language processing models,Higher
1050,G2(stratified10-fold),G2(stratified10-fold) is a metric used to evaluate classification models using stratified cross-validation with 10 folds or partitions of a dataset.,N/A
1051,Gap (West),Gap in the West,N/A
1052,GAR @0.01% FAR Impersonation,Genuine accept rate at 0.01% false accept rate impersonation,Higher 
1053,GAR @0.01% FAR Obfuscation,The Genuine Accept Rate (GAR) at a False Accept Rate (FAR) of 0.01% for obfuscated images,Higher
1054,GAR @0.01% FAR Overall,Genuine Accept Rate at False Accept Rate of 0.01% Overall,Higher
1055,GAR @0.01% FAR Plastic Surgery,GAR @0.01% FAR Plastic Surgery is a metric used to evaluate face recognition models in plastic surgery scenarios. It measures the genuine acceptance rate (GAR) of a model at a false acceptance rate (FAR) of 0.01%.,Higher
1056,GAR @0.1% FAR,Genuine Accept Rate at False Accept Rate of 0.1%,Higher
1057,GAR @0.1% FAR Impersonation,Genuine Accept Rate at False Accept Rate of 0.1% for Impersonation,Higher
1058,GAR @0.1% FAR Obfuscation,Genuine acceptance rate at a false acceptance rate of 0.1%.,Higher
1059,GAR @0.1% FAR Overall,A metric used to measure the performance of a face recognition system .,Higher
1060,GAR @0.1% FAR Plastic Surgery,A metric used to measure the performance of a face recognition system .,Higher
1061,GAR @1% FAR,Genuine Accept Rate at False Accept Rate of 1%,Higher
1062,GAR @1% FAR Impersonation,Genuine accept rate at 1% false accept rate impersonation,Higher 
1063,GAR @1% FAR Obfuscation,GAR at 1% FAR Obfuscation,Higher 
1064,GAR @1% FAR Overall,GAR at 1% FAR Overall,Higher 
1065,GAR @10% FAR,Genuine Accept Rate at False Accept Rate of 10%,Higher
1066,Gender,Gender,N/A
1067,gender-top1,The gender of a person with the highest confidence score,Not Clear
1068,GFlops,GFlops,Higher
1069,GFLOPs,Giga Floating Point Operations per Second,Lower
1070,GFLOPs (512 x 512),A metric used to evaluate the computational complexity of image processing models,Lower
1071,GLEU,A metric used to evaluate the performance of machine translation models,Higher
1072,Global Accuracy,Global Accuracy,Higher
1073,GMB BNSP,GMB Binary Natural Semantic Partitioning score,Higher 
1074,GMB BPSN,GMB BPSN is a metric used to evaluate binary classification models on imbalanced datasets with many negative samples relative to positive samples.,Higher
1075,GMB Subgroup,GMB Subgroup,N/A
1076,Go,A board game played by two players who take turns placing black and white stones on a grid with the goal of surrounding more territory than their opponent.,N/A
1077,Goal Preferences,Goal Preferences,N/A
1078,Google Speech Command-Musan,Google Speech Command on Musan dataset,Higher
1079,Google Speech Commands V1 12,The percentage of correctly classified examples in the Google Speech Commands V1 dataset,Higher
1080,Google Speech Commands V1 2,A metric used to evaluate the performance of speech recognition models,Higher
1081,Google Speech Commands V1 20,Google Speech Commands V1 20,N/A
1082,Google Speech Commands V1 35,Google Speech Commands V1 35 is a benchmark dataset for evaluating speech recognition models on short audio clips of spoken words or phrases. The metric measures accuracy across 35 different word classes.,Higher
1083,Google Speech Commands V1 6,Accuracy of a speech recognition model on the Google Speech Commands dataset.,Higher
1084,Google Speech Commands V2 12,Google Speech Commands V2 12,N/A
1085,Google Speech Commands V2 2,A metric used to evaluate the performance of speech recognition models,Higher
1086,Google Speech Commands V2 20,Google speech commands version 2 20,-
1087,Google Speech Commands V2 35,Google speech commands V2 35,-
1088,GovRep,Government Reputation,N/A
1089,GPU sec,GPU seconds,Lower
1090,Grad,A metric used to evaluate the performance of image generation models,Lower
1091,Grad Det-Jac,Gradient Determinant-Jacobian,N/A
1092,Grad.,Grad.,N/A
1093,Grades 1-6,Grades 1-6,N/A
1094,Grades 7-12,Grades 7-12 is a benchmark dataset for evaluating named entity recognition models on educational texts with complex entity types and relations between entities. The metric measures how well predicted entities match ground truth entities across all grades from 7th to 12th grade.,Higher
1095,Greedy Embedding,Greedy Embedding,N/A
1096,Group 1,Group 1,N/A
1097,Group 2,A metric used to evaluate the performance of recommendation models,Higher
1098,Group 3,The accuracy of a model on the Group 3 task,Higher
1099,Group 4,Measures the accuracy of image classification models on a dataset with 4 classes,Higher 
1100,Group 5,A metric used to evaluate the performance of recommendation models,Higher
1101,Group Score,A metric used to evaluate the performance of recommendation models,Higher
1102,GT-known localization accuracy,Ground truth-known localization accuracy,Higher 
1103,GTE,A metric used to evaluate the performance of recommendation models,Higher
1104,H,A metric used to evaluate the performance of recommendation models,Higher
1105,H-Mean,Harmonic mean between precision and recall for a machine learning model or neural network architecture.,Higher
1106,H-Score,Harmonic mean of Precision and Recall,Higher 
1107,H-score,The H-score of a model,Higher
1108,Hamming Loss,The fraction of labels that are incorrectly predicted,Lower
1109,hand,Handwritten recognition,-
1110,hardware,hardware,N/A
1111,Hardware Burden,Hardware burden,Lower 
1112,Harmonic mean,Harmonic mean is a metric used to evaluate classification models on imbalanced datasets with many negative samples relative to positive samples. It measures the harmonic mean of precision and recall across all classes in a dataset.,Higher
1113,Harmonic Mean (10 unseen classes),Harmonic Mean on 10 unseen classes,Higher
1114,Harmonic Mean (12 unseen classes),Harmonic mean of precision and recall for 12 unseen classes,Higher
1115,Harmonic Mean (24 unseen classes),Harmonic mean of the precision and recall over 24 unseen classes in an object detection task.,Higher
1116,Harmonic Mean (5 unseen classes),Harmonic Mean for 5 unseen classes,Higher
1117,HASPI,The HASPI score of a model,Higher
1118,HASQI,Haze-Aware Single Image Quality Improvement,Higher
1119,Hat,Accuracy of predicting the correct next word in a sentence,Higher 
1120,Hate,A metric used to evaluate the performance of hate speech detection models,Higher
1121,HAU,HAU,N/A
1122,Hausdorff,Hausdorff,Lower
1123,Hausdorff Distance (mm),Hausdorff Distance is a metric used to evaluate segmentation models in medical image analysis tasks. It measures the maximum distance between predicted and ground truth boundaries in millimeters (mm).,Lower
1124,HCE,Human-centered event recognition accuracy.,Higher
1125,HDR-PSNR,Measures the quality of high dynamic range images,Higher 
1126,HDR-SSIM,A metric used to evaluate the performance of image compression models,Higher
1127,HDR-VQM,High dynamic range video quality metric,Higher 
1128,Heavy MR^-2,A metric used to evaluate the performance of recommendation models,Higher
1129,HEQD,A metric used to measure the quality of a speech signal .,Lower
1130,HEQQ,The histogram equalization quantization quality of an image,Higher
1131,HICO,HICO,N/A
1132,HIoU,A metric used to evaluate the performance of object detection models,Higher
1133,HIT-THE-BEST,The percentage of times the model’s top prediction is correct,Higher
1134,Hit@1,The percentage of correct answers when only one answer is allowed.,Higher
1135,Hit@10,Measures the number of relevant items in the top-10 recommendations,Higher 
1136,Hit@20,Hit@20 is a metric used to evaluate recommendation systems. It measures the percentage of recommended items that are relevant to a user among the top 20 recommendations.,Higher
1137,Hit@5,Hit at 5 detections,Higher
1138,HitRatio@ 10 (100 Neg. Samples),The hit ratio of a model with 100 negative samples and a recall of 10,Higher
1139,Hits,Number of correct predictions,Higher
1140,Hits@1,Hits at 1,Higher 
1141,Hits@10,A metric used to evaluate the performance of recommendation models,Higher
1142,Hits@100,Percentage of correct answers in an information retrieval task when 100 answers are allowed.,Higher
1143,Hits@20,Hits at 20 detections,Higher
1144,HITS@3,Hits at 3 for large-scale visual recognition task,Higher 
1145,Hits@3,Hits@3 is a metric used to evaluate recommendation systems. It measures the percentage of recommended items that are relevant to a user among the top 3 recommendations.,Higher
1146,Hits@5,Hits at 5 detections,Higher
1147,HM(mAP),The harmonic mean of the mean average precision of a model,Higher
1148,HM(Recall),Harmonic Mean of Recall,Higher
1149,HmIoU,A metric used to evaluate the performance of object detection models,Higher
1150,HO (miss rate),Miss rate for human-object interaction detection task.,Lower
1151,Holder Binary F1,Binary F1 score for a named entity recognition task.,Higher
1152,HONEST,A metric used to evaluate the performance of question answering models,Higher
1153,HR@10,The hit ratio of a model with a recall of 10,Higher
1154,HR@100,The hit ratio of a model with a recall of 100,Higher
1155,HR@20,Hit rate for recommendation system,Higher
1156,HTER,Half total error rate for a speaker verification task.,Lower
1157,Hub5'00,Word error rate (WER) on the Hub5'00 speech recognition task,Lower
1158,Human (%),A metric used to evaluate the performance of image captioning models,Higher
1159,Human Explanation Rating,A metric used to evaluate the performance of question answering models,Higher
1160,"Human Overall (GENIE, External)",Human overall accuracy for external data,Higher 
1161,Human World Record Breakthrough,Human World Record Breakthrough,N/A
1162,Humanities,A metric used to measure the performance of a natural language processing system .,Higher
1163,I.I.D. EM,Mutual information between a training dataset and the model's learned distribution,Higher
1164,I.I.D. F1,A metric used to evaluate the performance of text classification models,Higher
1165,iBLEU,Incremental BLEU score for language generation task,Higher 
1166,IBO,Inception bottleneck output,-
1167,ICAT Score,ICAT score,Higher 
1168,ICBHI Score,The score of a model on the ICBHI dataset,Higher
1169,ICC,A metric used to evaluate the reliability of measurements,Higher
1170,ID retrieval,Accuracy of identity retrieval in a person re-identification task.,Higher
1171,IDF1,Instance-level F1 score,Higher
1172,IDS,A metric used to evaluate the performance of anomaly detection models,Lower
1173,IDs,IDs,N/A
1174,Ign F1,Ignored F1,Higher
1175,Ignored Constraint Error Rate,A metric used to evaluate the performance of natural language processing models in generating text that satisfies certain constraints or requirements. It measures the percentage of generated text that does not satisfy all constraints specified by a user or system. Lower values indicate better performance.,Lower
1176,iMAE,A metric used to measure the performance of a regression system .,Lower
1177,Image,A metric used to evaluate the performance of object detection models,Higher
1178,Image Context,A metric used to evaluate the performance of image captioning models,Higher
1179,Image Score,A metric used to evaluate the quality of images,Higher
1180,Image Size,Image Size,N/A
1181,Image-to-text Medr,Measures the median rank of images in a text retrieval task,Lower 
1182,Image-to-text R@1,The image-to-text R@1 score of a model,Higher
1183,Image-to-text R@10,The image-to-text retrieval accuracy of a model with a recall of 10,Higher
1184,Image-to-text R@5,Image-to-text Recall at 5,Higher
1185,ImageNet Pretrained,A metric used to evaluate the performance of image classification models,Higher
1186,ImageNet Top-1 Accuracy,ImageNet Top-1 Accuracy,Higher
1187,ImageNet Top-5 Accuracy,ImageNet top-5 accuracy,Higher 
